"Part";"Value";"Device";"Package";"Description";"3D_PACKAGE";"AVAILABILITY";"DESCRIPTION";"DIGIKEY_PART_NUMBER";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PRICE";"SPICEPREFIX";"SUPPLIER";"SUPPLIER_NAME";
"C1";"10nf";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";
"C2";"4.7pf";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";
"C3";"4.7pf";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";
"C4";"100nf";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";
"C5";"100nf";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";
"C6";"100nf";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";
"C7";"100nf";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";
"C8";"4.7pf";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";
"C9";"4.7pf";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";
"C10";"100nf";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";
"C11";"100nf";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";
"C12";"10uf";"CPOL-EUSANYO_SMD_B6";"SANYO-OSCON_SMD_B6";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";
"C13";"10u";"C-PR-SMD-TE-B";"TE-B-3528";"POLARIZED ELECTROLYTIC/TANTALUM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C14";"100nf";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";
"C15";"100nf";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";
"C16";"100p";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";
"C17";"100p";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";
"C18";"10u";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";
"C19";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";
"C20";"100nf";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C21";"10nf";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";
"C22";"0.1uf";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";
"C23";"0.1uf";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";
"C25";"10nf";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";
"C26";"1nf";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";
"C27";"1nf";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";
"C28";"10nf";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";
"C29";"100nf";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";
"C30";"100nf";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";
"C31";"10u";"C-PR-SMD-TE-B";"TE-B-3528";"POLARIZED ELECTROLYTIC/TANTALUM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C32";"10uf";"CPOL-EUSANYO_SMD_B6";"SANYO-OSCON_SMD_B6";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";
"C33";"100nf";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";
"C34";"10uf";"CPOL-EUSANYO_SMD_B6";"SANYO-OSCON_SMD_B6";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";
"C35";"100nf";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";
"C36";"10u";"C-PR-SMD-TE-B";"TE-B-3528";"POLARIZED ELECTROLYTIC/TANTALUM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C37";"0.1uf";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";
"C38";"100000u";"C-PR-SMD-TE-B";"TE-B-3528";"POLARIZED ELECTROLYTIC/TANTALUM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IC1";"";"LM1117";"SOT223";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IC2";"";"LM1117";"SOT223";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IC3";"";"LM1117";"SOT223";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IC4";"OP1177R";"OP1177R";"SOIC8";"Precision Low Noise, Low Input Bias Current Operational Amplifiers";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J1";"DM3C-SF";"DM3C-SF";"DM3C-SF";"Micro SD card hinge version Micro SD card hinge version";"";"";"Micro SD card hinge version Micro SD card hinge version";"HR1940TR-ND";"mm";"Hirose";"DM3C-SF";"";"";"";"";"";"";"";"";"";"DigiKey";
"LED1";"";"LED0603";"LED-0603";"LEDs";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"LED2";"";"LED0603";"LED-0603";"LEDs";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"LED3";"";"LED0603";"LED-0603";"LEDs";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"LED4";"";"LED0603";"LED-0603";"LEDs";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"LED5";"";"LED0603";"LED-0603";"LEDs";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"LED6";"";"LED0603";"LED-0603";"LEDs";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Q1";"8MHz";"CRYSTALCTS406";"CTS406";"CRYSTAL";"";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"";"";"";"";
"R1";"470";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R2";"120";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";"";"";
"R3";"2k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";"";"";
"R4";"1k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";"";"";
